profile,task_count,task_success_rate,verified_success_rate,false_completion_rate,recovery_success_rate,policy_block_rate,average_steps,average_tool_calls,p50_latency_seconds,p95_latency_seconds,total_input_tokens,total_output_tokens,total_estimated_cost_usd
single_call,30,0.9666666666666667,0.03333333333333333,0.9333333333333333,0.0,0.0,0.9666666666666667,0.0,1.706769812037237,4.20876131800469,4412,8171,0.0
basic_loop,30,0.9666666666666667,0.0,0.9666666666666667,0.0,0.0,2.7333333333333334,1.7666666666666666,1.9489496550522745,7.177615283057094,98429,5622,0.0
guarded_runtime,30,0.9,0.03333333333333333,0.8666666666666667,0.0,0.0,2.933333333333333,2.033333333333333,1.9293368149083108,6.0669435049640015,109759,5459,0.0
reliable_runtime,30,0.2,0.03333333333333333,0.8666666666666667,0.0,0.0,6.4,3.2666666666666666,4.9046958710532635,9.214699715957977,464057,14047,0.0
